state,year,quarter,transaction_count,transaction_amount,transaction_type_Financial Services,transaction_type_Merchant payments,transaction_type_Others,transaction_type_Peer-to-peer payments,transaction_type_Recharge & bill payments,avg_amount_per_transaction,amount_scaled,count_scaled,principal_component_1,principal_component_2
rajasthan,2018,2,289826,311536696.6979239,False,False,True,False,False,1074.9094170223648,-0.25448004851504186,-0.27471721366053004,-68326199303.9384,-17504291.696265485
rajasthan,2018,3,7120792,21010614922.14291,False,False,False,True,False,2950.6008491952734,-0.17738658321158646,-0.23431642597778385,-47627120042.04069,-19442038.681725997
rajasthan,2018,3,5894660,2252031409.939968,False,False,False,False,True,382.046023000473,-0.24725269953759008,-0.24156821124549283,-66385702390.45225,-12721506.399378903
rajasthan,2018,3,711240,445504998.0014268,False,True,False,False,False,626.3778724501249,-0.25398108520489754,-0.27222481982625585,-68192230836.133095,-17139630.47873618
rajasthan,2018,3,230083,30185982.18078412,True,False,False,False,False,131.19605612228682,-0.25552793583212374,-0.27507055523162416,-68607550018.51865,-17444846.6060764
rajasthan,2018,3,300323,302431358.9473551,False,False,True,False,False,1007.0203046298654,-0.2545139612348405,-0.27465513063035457,-68335304636.42512,-17489937.419751853
rajasthan,2021,1,116733195,408190388154.2274,False,False,False,True,False,3496.7807413669043,1.2646597769579493,0.4139707154014315,339552664883.1436,-73849899.50880961
rajasthan,2021,1,96394132,61936457709.223076,False,True,False,False,False,642.533486470142,-0.02495877910570549,0.29367818782495125,-6701243108.5527115,52493953.92991587
rajasthan,2021,1,38919519,20855464604.344055,False,False,False,False,True,535.8613143277556,-0.1779644386847516,-0.04624732738929589,-47782256875.08171,12422411.508240204
rajasthan,2021,1,192936,162581466.93308985,True,False,False,False,False,842.6704551410304,-0.25503483045811054,-0.27529025593867656,-68475154561.38275,-17538080.058022413
rajasthan,2021,1,491137,347689722.9177618,False,False,True,False,False,707.9281807678138,-0.25434539700823866,-0.27352658806391583,-68290046195.68158,-17318296.15421812
rajasthan,2021,4,221774624,151967969235.0213,False,True,False,False,False,685.2360585448283,0.31036249145693845,1.0352234739309367,83330313453.38774,139734551.32650116
rajasthan,2021,4,212937264,718215327365.9165,False,False,False,True,False,3372.8963821283837,2.4193438954488538,0.9829561511194933,649577617030.9197,-108981132.94731724
rajasthan,2021,4,51610607,32831163302.92643,False,False,False,False,True,636.1320901133062,-0.13336109441752403,0.028812327680140578,-35806553874.78148,20040255.193896353
rajasthan,2021,4,265091,263180819.6932125,True,False,False,False,False,992.7942468556553,-0.2546601493912972,-0.27486350533923737,-68374555187.082565,-17508541.78296171
rajasthan,2021,4,1034011,656777820.7586894,False,False,True,False,False,635.1748876546666,-0.2531942021440481,-0.27031583614208177,-67980957895.59854,-16906360.624352653
rajasthan,2021,2,139277445,467784146764.7472,False,False,False,True,False,3358.649684913068,1.4866160066848813,0.547305511346361,399146427696.67,-76551245.69592078
rajasthan,2021,2,97860493,69922875807.46701,False,True,False,False,False,714.5158752415749,0.004786538045615181,0.30235077372674896,1285174894.2584534,50577043.21361358
rajasthan,2021,2,49501703,23387103755.819714,False,False,False,False,True,472.45048833612276,-0.16853537943102906,0.01633951157370787,-45250613467.85997,21932120.929266967
rajasthan,2021,2,216441,186606893.61035594,True,False,False,False,False,862.1605592764585,-0.254945348048422,-0.2751512389219789,-68451129126.90392,-17524752.9073702
rajasthan,2021,2,620957,422031947.60023904,False,False,True,False,False,679.6476206890961,-0.2540685102958586,-0.27275878593212743,-68215703922.67445,-17219969.625540514
rajasthan,2021,3,181742972,575912799217.8965,False,False,False,True,False,3168.831195397732,1.8893398587044823,0.7984618983292454,507275088436.98376,-79892064.32809305
rajasthan,2021,3,167819345,105548321875.05884,False,True,False,False,False,628.9401372354232,0.13747307898325967,0.7161125646916966,36910647401.7039,105443946.85514033
rajasthan,2021,3,49709657,28335516739.41771,False,False,False,False,True,570.0203632348079,-0.1501050754096055,0.017569426259533828,-40302200840.18993,20043787.835357115
rajasthan,2021,3,197211,190362135.86135098,True,False,False,False,False,965.2713888239043,-0.2549313616942941,-0.27526497205242334,-68447373893.13625,-17545573.732000787
